Supplier_name,CSD_Registration_No,pay_num,No_of_orders,order_num,Count_of_institutions_serviced,Director
TWIN PEGASUS,MAAA0903957,19667.39,4,19667.39,4,LIN TAI-JUNG
TWIN PLACE TRADING AND PROJECTS 82,MAAA0903744,263975.96,1,263975.96,1,TSOAI MBALI BAFELETSE
TWO MARBLES BUSINESS ENTERPRISE,MAAA0809588,717600,1,717600,1,SEGOOA ROLAND PHOLOSO
TWO N TRANSPORT AND CLEANING SERVICES,MAAA0335631,6240,2,6240,2,PHALADI JOHANNES NTLHANE
TX MEDICS,MAAA0698206,680,1,680,1,MARX THEA
TX MEDICS,MAAA0698206,680,1,680,1,MARX THOMAS ENGENATIUS
TYEKS PLANT HIRE AND CONSTRUCTION,MAAA0349445,0,1,1500000,1,BUHLUNGU TYELOVUYO GLADSTONE
TYEKS SECURITY SERVICES,MAAA0338722,3392036.49,2,5411157.15,2,BUHLUNGU TABISA
TYEKS SECURITY SERVICES,MAAA0338722,3392036.49,2,5411157.15,2,BUHLUNGU TYELOVUYO GLADSTONE
TYGA WHOLESALE,MAAA0796554,0,2,1500,2,CAVE Mokgadi Dina
TYGA WHOLESALE,MAAA0796554,0,2,1500,2,MOAGI ANNAH DIKELEDI
TYGA WHOLESALE,MAAA0796554,0,2,1500,2,MOAGI MATSHIDISO THERESIA
TYGER ROAR TRADING,MAAA0054157,548000,2,548000,2,MINTY CHRISANDA MARY-ANN
TYRA TEE PROJECT MANAGEMENT,MAAA0941531,0,1,0,1,SEAKAMELA RICKA TLOU
TYUWA GENERAL TRADING,MAAA0473338,29840,1,29840,1,TYUWA DUMISANI
TZWE CLEANING,MAAA0485365,75900,1,75900,1,MJANDANA THOBELANI DESMOND
U K N P TRADING,MAAA0164588,32690,2,32690,2,KARSAN PAROOLKUMARI AMRATLAL
U K N P TRADING,MAAA0164588,32690,2,32690,2,KARSAN SATISH UMESH
U K N P TRADING,MAAA0164588,32690,2,32690,2,KARSAN UMESH
U RENT VAN AND TRUCK RENTAL HOLDINGS,MAAA0004592,224358.21,1,885480,1,DALLY KIMBERLY JAYDE
U RENT VAN AND TRUCK RENTAL HOLDINGS,MAAA0004592,224358.21,1,885480,1,HAND CLINTON
U RENT VAN AND TRUCK RENTAL HOLDINGS,MAAA0004592,224358.21,1,885480,1,HINDE PATRICK AINSLEY
U RENT VAN AND TRUCK RENTAL HOLDINGS,MAAA0004592,224358.21,1,885480,1,LUDICK CAROL NICHOLA
U RENT VAN AND TRUCK RENTAL HOLDINGS,MAAA0004592,224358.21,1,885480,1,MANDIC BABRA-ANNE
U RENT VAN AND TRUCK RENTAL HOLDINGS,MAAA0004592,224358.21,1,885480,1,SCHREIBER ETIENNE
U TECH SUPPORT,MAAA0558641,10936.8,6,10936.8,6,Strydom STEPHANIE
U TECH SUPPORT,MAAA0558641,10936.8,6,10936.8,6,VAN VUUREN REINIER VINCENT
U TECH SUPPORT,MAAA0558641,10936.8,6,10936.8,6,VON WALTSLEBEN JACO
UBER TECHNOLOGIES,MAAA0211955,3500,1,3500,1,JOOSTE ANDRE
UBER TECHNOLOGIES,MAAA0211955,3500,1,3500,1,LATEGAN MORNE
UBER TEST,MAAA0032590,28120,1,28120,1,PRINGLE GUY STUART
UBER TEST,MAAA0032590,28120,1,28120,1,PRINGLE JACQUELINE ANGELA
UBUBELE MEDICAL,MAAA0024073,18975,4,18975,4,SAMUELS LAURETTA
UBUCUBU HOME INDUSTRIES,MAAA0337237,74140,6,74140,6,MKHWANAZI NONKULULEKO BATHOKOZILE
UBUCUBU HOME INDUSTRIES,MAAA0337237,74140,6,74140,6,MKHWANAZI TERESSA DUDUZILE
UBUDE ABUPHANGWA CIVIL AND ELECTRICAL,MAAA0758597,172100,5,172100,5,ZUNGU MELUSI ENGELOUS
UBUHLE BE MVELO TRADERS,MAAA0353420,18605,1,18605,1,SELEKA FLORENCE NOMATHEMBA
UBUHLEBAMANGQIKIZA,MAAA0769726,124800,1,124800,1,NCOLOSI PHILISIWE JOYCE
UBUHLEBAMANGQIKIZA,MAAA0769726,124800,1,124800,1,NCOLOSI SIYABONGA GIFT
UBUHLEBOTHINGO PRIMARY CO-OPERATIVE LIMITED,MAAA0585565,196518.1,2,196518.1,2,MATHE NKOSINATHI
UBUHLEBOTHINGO PRIMARY CO-OPERATIVE LIMITED,MAAA0585565,196518.1,2,196518.1,2,MATHE NONDUMISO THALENTE
UBUHLEBOTHINGO PRIMARY CO-OPERATIVE LIMITED,MAAA0585565,196518.1,2,196518.1,2,MATHE THABISO COLLEN
UBUHLEBOTHINGO PRIMARY CO-OPERATIVE LIMITED,MAAA0585565,196518.1,2,196518.1,2,MATHE THEMBELIHLE
UBUHLEBOTHINGO PRIMARY CO-OPERATIVE LIMITED,MAAA0585565,196518.1,2,196518.1,2,NGCOBO NOLUTHANDO PRECIOUS PEARL
UBUHLEBOTHINGO PRIMARY CO-OPERATIVE LIMITED,MAAA0585565,196518.1,2,196518.1,2,SHABALALA OLGA NTOMBIYENKOSI
UBUHLEBOTHINGO PRIMARY CO-OPERATIVE LIMITED,MAAA0585565,196518.1,2,196518.1,2,ZUNGU ZODWA PRUDENCE
UBUKHULU BEZWE,MAAA0660736,150000,2,150000,2,DHLAMINI BONFASIA NOBUKHOSI
UBUKHULU BEZWE,MAAA0660736,150000,2,150000,2,LUNGA ZIBUYILE PROMISE
UBUNELE PRIMARY COO-OPERATIVE LIMITED,MAAA0400729,692900,1,692900,1,BOSMAN SONJA
UBUNELE PRIMARY COO-OPERATIVE LIMITED,MAAA0400729,692900,1,692900,1,LUKAS STEPHANIE URANIE
UBUNELE PRIMARY COO-OPERATIVE LIMITED,MAAA0400729,692900,1,692900,1,VAALTYN BENITA
UBUNELE PRIMARY COO-OPERATIVE LIMITED,MAAA0400729,692900,1,692900,1,VAALTYN LIEZEK-ANN THENDJIWE
UBUNELE PRIMARY COO-OPERATIVE LIMITED,MAAA0400729,692900,1,692900,1,VAALTYN SYLVIA HERMONIA
UBUNGCWETI TECHNOLOGIES,MAAA0649958,0,1,1480625,1,NGCOBO NKOSINATHI PHUMLANI
UBUNTU ENTITIES,MAAA0766188,20190,1,20190,1,CADER JAMILLAH
UBUNTU INSTALLATIONS,MAAA0002104,18515,1,18515,1,MAXENGANA MHLANGABESI
UBUNTU NDOKO TRADING,MAAA0005669,19600,14,19600,14,NGOVELA NKOSINAMANDLA WISEMAN
UBUNTU PRINTERS AND STATIONERS,maaa0489303,13073.2,1,1307320,1,MOONSAMY SHEREEN
UBUNTU PRINTERS AND STATIONERS,maaa0489303,13073.2,1,1307320,1,SINGH KAMLENDRA
UBUNTU PROCUREMENT,MAAA0833430,17015,1,17015,1,MOYAKHE ZOLISWA
UBUNTU TECHNOLOGY,MAAA0007751,440950.15,8,643065.77,8,ADAMS PETER ALLAN
UBUNTU TECHNOLOGY,MAAA0007751,440950.15,8,643065.77,8,CHAYAMBUKA PRECIOUS
UBUNTU TECHNOLOGY,MAAA0007751,440950.15,8,643065.77,8,MBULAWA CHRISTOPHER THABISO
UBUNTU TECHNOLOGY,MAAA0007751,440950.15,8,643065.77,8,PAKIRIY PRIASHAN
UBUNTU TECHNOLOGY,MAAA0007751,440950.15,8,643065.77,8,RAMABINA MMAKANA JACQUELINE
UBUNTU TECHNOLOGY,MAAA0007751,440950.15,8,643065.77,8,RAMESSAR MELISHA
UBUNTU TECHNOLOGY,MAAA0007751,440950.15,8,643065.77,8,ROBERTSON GARY DALE
UBUNTU TECHNOLOGY,MAAA0007751,440950.15,8,643065.77,8,SADHEO MELISHA
UBUNTU TECHNOLOGY,MAAA0007751,440950.15,8,643065.77,8,SEAKGOSING JAMES SHIMANE
UBUNTU TECHNOLOGY,MAAA0007751,440950.15,8,643065.77,8,SEBECWENG MALEBOGO GRIZELDA
UBUNTU TECHNOLOGY,MAAA0007751,440950.15,8,643065.77,8,STROH STEPHEN
UBUNTU TECHNOLOGY,MAAA0007751,440950.15,8,643065.77,8,STRÖH STEPHEN
UBUNYE NGAMANDLA TRADING ENTERPRISE,MAAA0071867,0,2,166500,2,MAJEKE NTSIKELELO
UBUZWE TRANSPORT AND SERVICES,MAAA0008077,29950.5,1,29950.5,1,MADOTYENI NKOSIYOXOLO
UC CHEMICALS AND CLEANING SERVICES,MAAA0144616,3000,6,3000,6,BEUKES URSULLA CHARMAINE
UCR AIR TIME SALES,MAAA0389781,0,2,19600,2,BHELESI BABALWA GLORIA
UCR AIR TIME SALES,MAAA0389781,0,2,19600,2,NKATANE ANDILE
UDUMO TECHNOLOGIES AND PROJECTS,MAAA0001734,158100,6,158100,6,
UHAMBO PROCUREMENT AND DISTRIBUTION,MAAA0542278,556680.95,10,670180.95,10,ALWAR ROGER MICHAEL
UHONERANGANI TRADING AND PROJECTS,MAAA0019250,0,1,1127,1,MUGWEDI MUTANGWA JOHANNAH
UHURU DEVELOPMENT CO-OPERATIVE LIMITED,MAAA0029151,0,1,96000,1,JAFTA LUYANDA MATTHEWS
UHURU DEVELOPMENT CO-OPERATIVE LIMITED,MAAA0029151,0,1,96000,1,JAFTA THULANI
UHURU DEVELOPMENT CO-OPERATIVE LIMITED,MAAA0029151,0,1,96000,1,MAKASI MBULELO
UHURU DEVELOPMENT CO-OPERATIVE LIMITED,MAAA0029151,0,1,96000,1,MDIYA YANDISA
UHURU DEVELOPMENT CO-OPERATIVE LIMITED,MAAA0029151,0,1,96000,1,MELANE LUNTU
UHURU DEVELOPMENT CO-OPERATIVE LIMITED,MAAA0029151,0,1,96000,1,MWANZA TEDY
UHURU TRADING 2004,MAAA0034802,98012.06,4,98012.06,4,POOE NOKOANA LESELE
UHURU VENTURES,MAAA0919932,98850,1,98850,1,MORAKA TEBOGO YVETTE MASHADI
UHURU VENTURES,MAAA0919932,98850,1,98850,1,SEOLOANE KARABO
UHURUWANKHA TRADING PRIMARY CO-OPERATIVE LIMITED,MAAA0243773,40000,1,4000045,1,DLADLA NONTOBEKO RAKHENI
UHURUWANKHA TRADING PRIMARY CO-OPERATIVE LIMITED,MAAA0243773,40000,1,4000045,1,HLEVELA DIFFERENCE THABO
UHURUWANKHA TRADING PRIMARY CO-OPERATIVE LIMITED,MAAA0243773,40000,1,4000045,1,MATSANE ALUTIA
UHURUWANKHA TRADING PRIMARY CO-OPERATIVE LIMITED,MAAA0243773,40000,1,4000045,1,MBATSANE MANLEY JNR PHOLOSO
UHURUWANKHA TRADING PRIMARY CO-OPERATIVE LIMITED,MAAA0243773,40000,1,4000045,1,MOKOENA LEBUGANG
UI BRANDS,MAAA0086476,514051.5,15,514051.6,15,BHEBHE VULUMUZI
UKHAMBA LOBUNTU CHEM,MAAA0091274,0,1,132484.85,1,MONDLANE GODFREY FREDDIE
UKHEZO NOGQOKO TRADING AND PROJECTS,MAAA0291943,0,3,302400,3,DLAMINI GCINUKWAZI ISAIAH
UKHOLO DEZINZ AND SUPLIZE,MAAA0095217,22700,1,22770,1,PILLAY QUINTON PREGIE
UKUBHUKUDA TRADING AND PROJECTS 169,MAAA0050097,530909,1,755090,1,MNISI JERRY AGRIB
UKUCHUMA TRADING ENTERPRISE,MAAA0010903,0,1,6271.2,1,ABBOY LOGAMBAL THAMAYAH
UKUCHUMA TRADING ENTERPRISE,MAAA0010903,0,1,6271.2,1,ABBOY TREVINO
UKUCHUMA TRADING ENTERPRISE,MAAA0010903,0,1,6271.2,1,GOVENDER Immanuel
UKUSA OFFICE SOLUTIONS,MAAA0032615,89279.5,8,87121.15,8,DUBAZANA NTOMBIKAYISE
UKUYALUZA KWENTUTHWANE,MAAA0727680,9492,2,9492,2,NGOBESE SIBUSISO BLESSING
UKUYENZA TRADING,MAAA0790465,1134.4,1,1134.4,1,WILLIAMS AVERLYN RONEL
UKUYENZA TRADING,MAAA0790465,1134.4,1,1134.4,1,WILLIAMS ROBYN
ULINDA SERVICE SOLUTIONS,MAAA0196851,0,1,14400,1,CEBEKHULU MANGALISO NDUMISO
ULINZI,MAAA0357890,101500,1,255040.5,1,MOSES PURUIS TSHEPANG
ULTIMATE INVESTMENT HOLDINGS,MAAA0845588,269930,1,269930,1,NETSWERA NTHAMBELENI MARY
ULTRA CHAIN MANAGEMENT,MAAA0590787,3040000,1,3040000,1,LENYAI KOENA EPHENIA
ULU TRADING,MAAA0623215,236760,2,236760,2,MYATAZA ONKE
ULU TRADING,MAAA0623215,236760,2,236760,2,ZAULA POZISA TERESSA
ULWANDLE AND BONGI TRADING,MAAA0127527,10300,1,10300,1,MTSWENI FLORENCE SIBONGILE
ULWANDLE AND BONGI TRADING,MAAA0127527,10300,1,10300,1,Zitha EUGENE FANETI
ULWANDLE SUPPLIERS,MAAA0181749,6528,4,6528,4,KHANYILE PRINCE SPHIWE
ULWAZI ENVIRO SOLUTIONS,MAAA0148756,10430,1,10430,1,SMIT JOSEPH SEBASTIAN SHAUN
ULYMAT PROJECTS,MAAA0737864,66666,2,79999.98,2,MABOTHA KUTUME RODNEY
ULYMAT PROJECTS,MAAA0737864,66666,2,79999.98,2,MATHABATHA ULENDAH NTLEKE
UMANQOBATHA TRADING ENTERPRISES,MAAA0676805,55550,2,55550,2,PHATLANE TEBOGO THEOPHILLAS
UMANYANO TRAVEL SERVICES,MAAA0920878,125070905.6,14,44997723.62,14,Abdurahman NAZEEM
UMANYANO TRAVEL SERVICES,MAAA0920878,125070905.6,14,44997723.62,14,ABRAHAMS CANDICE ASTRID
UMANYANO TRAVEL SERVICES,MAAA0920878,125070905.6,14,44997723.62,14,AKIEMDIEN GASANT
UMANYANO TRAVEL SERVICES,MAAA0920878,125070905.6,14,44997723.62,14,AMSTERDAM STANLEY THOMAS
UMANYANO TRAVEL SERVICES,MAAA0920878,125070905.6,14,44997723.62,14,BROWN FALDELAH
UMANYANO TRAVEL SERVICES,MAAA0920878,125070905.6,14,44997723.62,14,CORNISH RIEDWAAN
UMANYANO TRAVEL SERVICES,MAAA0920878,125070905.6,14,44997723.62,14,DIBELA MZOXOLO CECIL
UMANYANO TRAVEL SERVICES,MAAA0920878,125070905.6,14,44997723.62,14,Geyer GERSHON AUBREY
UMANYANO TRAVEL SERVICES,MAAA0920878,125070905.6,14,44997723.62,14,HERMANUS MANDLAKAPHELI
UMANYANO TRAVEL SERVICES,MAAA0920878,125070905.6,14,44997723.62,14,MADONELA KAIZER NKOSIYOZUKO
UMANYANO TRAVEL SERVICES,MAAA0920878,125070905.6,14,44997723.62,14,MATA MANDLA WISEMAN
UMANYANO TRAVEL SERVICES,MAAA0920878,125070905.6,14,44997723.62,14,MBUDEDE WHELELE
UMANYANO TRAVEL SERVICES,MAAA0920878,125070905.6,14,44997723.62,14,MISELO VUSUMZI LENNOX
UMANYANO TRAVEL SERVICES,MAAA0920878,125070905.6,14,44997723.62,14,OCTOBER ASHLEY DAVID
UMANYANO TRAVEL SERVICES,MAAA0920878,125070905.6,14,44997723.62,14,OPPELT MELTON
UMANYANO TRAVEL SERVICES,MAAA0920878,125070905.6,14,44997723.62,14,PETERS Junaid
UMANYANO TRAVEL SERVICES,MAAA0920878,125070905.6,14,44997723.62,14,ROMAN LINDA MARIA
UMANYANO TRAVEL SERVICES,MAAA0920878,125070905.6,14,44997723.62,14,SAAIERS ELRYNO TERENCE
UMANYANO TRAVEL SERVICES,MAAA0920878,125070905.6,14,44997723.62,14,SALIE MOGAMAT GHAMIET
UMANYANO TRAVEL SERVICES,MAAA0920878,125070905.6,14,44997723.62,14,SCHOLTZ DAVID CIRYLL
UMANYANO TRAVEL SERVICES,MAAA0920878,125070905.6,14,44997723.62,14,SERELINA PETER JOHN
UMANYANO TRAVEL SERVICES,MAAA0920878,125070905.6,14,44997723.62,14,SIYONA NYANISILE CHRISTOPHER
UMANYANO TRAVEL SERVICES,MAAA0920878,125070905.6,14,44997723.62,14,SLEE ARTHUR ABRAHAM DAVID
UMANYANO TRAVEL SERVICES,MAAA0920878,125070905.6,14,44997723.62,14,TITI MONGI
UMANYANO TRAVEL SERVICES,MAAA0920878,125070905.6,14,44997723.62,14,WIWI SIKELE VICTOR
UMATHORA,MAAA0968806,0,1,487000,1,SILLS KELVIN DOUGLAS
UMBALANI CONSULTING,MAAA0482315,33912.5,2,33912.5,2,BARNARD MARTHINUS CHRISTOFFEL
UMBALANI CONSULTING,MAAA0482315,33912.5,2,33912.5,2,KHOZA SIPHOKUHLE SANELE
UMBALANI CONSULTING,MAAA0482315,33912.5,2,33912.5,2,NGUBANE THOLUMUSA MICHAEL
UMBALANI CONSULTING,MAAA0482315,33912.5,2,33912.5,2,VAN RENSSEN EDUARD WILLEM
UMBELEBELE PROJECTS,MAAA0460795,282736.47,3,286750.62,3,NGXONGO ZIMELE
UMBOMVU TRANSPORT,MAAA0696338,0,8,462400,8,NGUBANE PHINDILE THOBEKA
UMBONO ISIZWE,MAAA0751220,0,6,244249,6,GOVENDER CARLIN
UMBUSO WAMAQADI INVESTMENTS,MAAA0683686,1322500,1,1150000,1,DLAMINI SIYABONGA PRINCE
UMBUSO WAMAQADI INVESTMENTS,MAAA0683686,1322500,1,1150000,1,MASINGA NELSON SITHEMBELE
UMBUSO WAMAQADI INVESTMENTS,MAAA0683686,1322500,1,1150000,1,MASINGA SITHEMBELE NELSON
UMBUSO WAMAQADI INVESTMENTS,MAAA0683686,1322500,1,1150000,1,NGCOBO THABISO RODNEY
UMBUSO WAMAQADI INVESTMENTS,MAAA0683686,1322500,1,1150000,1,VEZI NHLANHLA
UMCEBO PROJECTS,MAAA0168946,69600,1,69600,1,NKOSI GUGU EDITH
UMCEBO SX PROJECTS,MAAA0082954,14950,1,14950,1,MTHEMBU SANDILE ERIC
UMGUNGUNDLOVU COMMUNITY RADIO STATION,MAAA0406284,22000,1,22000,1,KHAMBULE THEMBA ALBERT BONGANI
UMGUNGUNDLOVU COMMUNITY RADIO STATION,MAAA0406284,22000,1,22000,1,MAGUDULELA SIMON DUMISANI
UMGUNGUNDLOVU COMMUNITY RADIO STATION,MAAA0406284,22000,1,22000,1,SIBIYA DERRICK MUZIWENKOSI
UMGUNGUNDLOVU COMMUNITY RADIO STATION,MAAA0406284,22000,1,22000,1,SIBIYA NOTHANDO ZAMAGUMEDE
UMGUNGUNDLOVU COMMUNITY RADIO STATION,MAAA0406284,22000,1,22000,1,ZONDI BONGINKOSI JOSHUA
UMHLABA CONSULTING GROUP,MAAA0074225,82800,1,331200,1,HINDES BRENDAN MARK
UMHLABA CONSULTING GROUP,MAAA0074225,82800,1,331200,1,JONAS JOHAN KARL
UMHLABA CONSULTING GROUP,MAAA0074225,82800,1,331200,1,JONAS PETRUS JACOBUS
UMHLABA CONSULTING GROUP,MAAA0074225,82800,1,331200,1,MANONA SIYABULELA SOBANTU
UMHLABA CONSULTING GROUP,MAAA0074225,82800,1,331200,1,MEULEMAN ANTONIUS WILHELMUS GEORGE
UMHLABA CONSULTING GROUP,MAAA0074225,82800,1,331200,1,OLIVIER CAREL CHRISTIAAN
UMHLABA CONSULTING GROUP,MAAA0074225,82800,1,331200,1,WOTSHELA LUVUYO ELLWOOD
UMHLABAWETHU PROJECTS,MAAA0929831,31248.44,5,31248.42,5,MASUMPA SIPHELELE
UMHLEKWA TRADING AND CONSTRUCTION,MAAA0452758,12937,1,12937,1,MABUYAKHULU THUTHUKANI SANELE
UMKHATHIZWE GENERAL TRADING,MAAA0855769,1377500,1,1377500,1,GAMEDE MANDLA
UMKHONTO WETHU PROJECTS,MAAA0624202,49507.5,2,49507.5,2,NDLOVU CLEOPAS LUNGISANI
UMLINGANI GROUP,MAAA0236791,29674913.15,50,44079303.9,50,MOUYEME MASERAME REBECCA MOUYEME
UMLINGANI GROUP,MAAA0236791,29674913.15,50,44079303.9,50,VIVIAN GRAHAM DERRICK
UMNDENI MEDICAL,MAAA0072225,596818.25,9,1028705.15,9,MPHAHLELE MARK JULY
UMNOTHOZWIDE TRADING ENTERPRISE,MAAA0031350,0,2,1549000,2,DIBAKOANE LEBOGANG JOY
UMNOTHOZWIDE TRADING ENTERPRISE,MAAA0031350,0,2,1549000,2,NXUMALO MZWANDILE COLIN
UMNOTHOZWIDE TRADING ENTERPRISE,MAAA0031350,0,2,1549000,2,NXUMALO SANELE
UMNTWANA HOLDINGS,MAAA0138159,60000,1,472000,1,BUTHELEZI ZAMA
UMNTWANA HOLDINGS,MAAA0138159,60000,1,472000,1,MBATHA THULANI
UMSASANE ENTERPRISE,MAAA0432494,328160,11,328160,11,DLAMINI CHRISTOPHER LINDUMUSA
UMSASANE ENTERPRISE,MAAA0432494,328160,11,328160,11,DLAMINI SIMPHIWE ROMANUS
UMSASANE ENTERPRISE,MAAA0432494,328160,11,328160,11,NKOSI THEMBEKA
UMSEBENTI ENTERPRISE,MAAA0548528,60896.64,7,60896.64,7,NTIMBA ELLIAS INNOCENT
UMSHINIWAM TRADING ENTERPRISE 31,MAAA0426986,477000,1,477000,1,ZULU LUNGALOMNDENI MANQOBA MTHOKOZISI
UMSINDO INVESTMENTS,MAAA0798996,50000,1,150000,1,LEEBA LUNGILE GEDION
UMSO CONSTRUCTION,MAAA0021327,0,1,0,1,APLENI SIPHOKAZI ANYROSE
UMSO CONSTRUCTION,MAAA0021327,0,1,0,1,BUTHELEZI THEMBINKOSI
UMSO CONSTRUCTION,MAAA0021327,0,1,0,1,CELE CAROL LYNETTE
UMSO CONSTRUCTION,MAAA0021327,0,1,0,1,DIHABA THABO ABRAM
UMSO CONSTRUCTION,MAAA0021327,0,1,0,1,DLAMALALA UZUBENATHI
UMSO CONSTRUCTION,MAAA0021327,0,1,0,1,GASA ZANELE BRIDGETTE NOMPUMELELO
UMSO CONSTRUCTION,MAAA0021327,0,1,0,1,JUNG PETER DANIEL
UMSO CONSTRUCTION,MAAA0021327,0,1,0,1,KOMANE NATHNAEL MMOLO
UMSO CONSTRUCTION,MAAA0021327,0,1,0,1,MAHLAKAHLAKA-MHLUBULWANA NOLOYISO ROSALIND
UMSO CONSTRUCTION,MAAA0021327,0,1,0,1,MONELO VUYISWA
UMSO CONSTRUCTION,MAAA0021327,0,1,0,1,MOODLEY KERSIVAN THAMOTHRIAN
UMSO CONSTRUCTION,MAAA0021327,0,1,0,1,MVUSI TEMBA IRVINE
UMSO CONSTRUCTION,MAAA0021327,0,1,0,1,NDYAMARA AVIWE NTANDAZO
UMSO CONSTRUCTION,MAAA0021327,0,1,0,1,NKOSI TOLLO CLEMENT
UMSO CONSTRUCTION,MAAA0021327,0,1,0,1,NTSHEBE NOMSUTHU NANCY
UMSO CONSTRUCTION,MAAA0021327,0,1,0,1,SIBOZO MAHLATHINI MAC'FORD
UMSO CONSTRUCTION,MAAA0021327,0,1,0,1,SIPELITI DOUGLAS DALIBANGO
UMSO CONSTRUCTION,MAAA0021327,0,1,0,1,SIPELITI NOMVELO WINNIFRED
UMSO CONSTRUCTION,MAAA0021327,0,1,0,1,TSHAKA ANDILE
UMSO CONSTRUCTION,MAAA0021327,0,1,0,1,VAN DER MERWE ANDRE
UMTHIKAZI TEXTILES AND PROJECTS,MAAA1049870,0,1,13800,1,MDLETYE ANDISWA
UMTHOMBO ABC TRADING,MAAA0731602,6893.34,2,41360.04,2,NOMLALA BONGA JOSEPH
UMTHOMBOWESIZWE CONSULTANTS,MAAA0393142,70413.63,18,112273.81,18,SITHEBE BUYISIWE
UMTHONYAMA TRADING,MAAA0689766,25000,1,25000,1,MAQOKOLO PUMZA PORTIA
UMTHONYAMA TRADING,MAAA0689766,25000,1,25000,1,NONGOLOZA XOLILE MOODLEY
UMZUZWANA MARKETING ENTERPRISES,MAAA0403941,37800,1,37800,1,KHALAMADI TSHOLOFELO HOPE
UNAGUNDO PROJECTS,MAAA0524756,16950,1,16920,1,NEMAVHULANI MPHO
UNAGUNDO PROJECTS,MAAA0524756,16950,1,16920,1,NEMUKULA VHUTSHILO
UNATHI MEDICAL SOLUTIONS,MAAA0770964,0,1,499300,1,MUNGALAMURTHY NAIDOO JOSIAH IMMANUEL
UNATHI PRESS AND OFFICE SUPPLIERS,MAAA0092535,1725,1,1725,1,NAIDOO KREESEN
UNATHINO,MAAA0912893,218376,1,218376,1,SIBIYA NQUBEKO MELUSI
UNBRIDLED TRADING 217,MAAA0226379,207950,3,386850,3,MASEKO LEE SIBUSISO
UNBRIDLED TRADING 217,MAAA0226379,207950,3,386850,3,NKOSI DEIRDRE NOSIMILO
UNCHANA TRADING,MAAA0182377,0,1,1700000,1,SHANDU ZANELE
UNCLES CATERERS,MAAA0609657,85324.75,5,140781.62,5,KAMALIE ACHMAT
UNDILEKO TRADING ENTERPISES,MAAA0112151,6500,2,6500,2,MATHUMBU NDILEKA
UNI MEDIA PRODUCTIONS,MAAA0326247,465520,2,0,2,CASSIEM MOGAMAT NUSRAT
UNI MEDIA PRODUCTIONS,MAAA0326247,465520,2,0,2,HANSA ZAHIRA
UNI MEDIA PRODUCTIONS,MAAA0326247,465520,2,0,2,KAPP Werner
UNI MEDIA PRODUCTIONS,MAAA0326247,465520,2,0,2,MEHTA DHIREN GAJSUKUMAR
UNI-COPY AND STATIONERS,MAAA0050352,0,1,8670,1,MOODLEY ARUMUGAM
UNI-COPY AND STATIONERS,MAAA0050352,0,1,8670,1,MOODLEY RAJESPERIE
UNICORE HOLDINGS,MAAA0082219,2117886.57,18,8218607.35,18,HANSA ZAHIRA
UNICORE HOLDINGS,MAAA0082219,2117886.57,18,8218607.35,18,MEHTA DHIREN GAJSUKUMAR
UNIFIED PEST CONTROL AND PROJECTS,MAAA0852987,1985.95,1,0,1,LANG CRAIG
UNIFIED PEST CONTROL AND PROJECTS,MAAA0852987,1985.95,1,0,1,LANG KAY-LYNN SHADÉ
UNIFIED PLUMBING SUPPLIES,MAAA0096035,0,1,12517.75,1,HAJEE HASSIM REYAAZ
UNIFORM LANGUAGE PRIMARY CO-OPERATIVE LIMITED,MAAA0523078,19800,1,19800,1,LETSHABO Johannes
UNIFORM LANGUAGE PRIMARY CO-OPERATIVE LIMITED,MAAA0523078,19800,1,19800,1,MALULEKE MPOTSENG INNOCETIA
UNIFORM LANGUAGE PRIMARY CO-OPERATIVE LIMITED,MAAA0523078,19800,1,19800,1,SETHOSA LEDILE MELITA
UNIFORM LANGUAGE PRIMARY CO-OPERATIVE LIMITED,MAAA0523078,19800,1,19800,1,SETHOSA MATSOBANE PHINEAS
UNIFORM LANGUAGE PRIMARY CO-OPERATIVE LIMITED,MAAA0523078,19800,1,19800,1,SKOSANA NOMSA FLORENCE
UNIKO LOLWETHU ENTERPRISE,MAAA0802886,887400,7,887400,7,NDABA NOMSIMELELO LINDA
UNIMED HEALTHCARE,MAAA0444639,89817.48,3,89817.48,3,BERA ARSHAD
UNIMED HEALTHCARE,MAAA0444639,89817.48,3,89817.48,3,CARRIM BASHIR AHMED
UNIMED HEALTHCARE,MAAA0444639,89817.48,3,89817.48,3,CARRIM SHAMIM ABOO
UNIMED HEALTHCARE,MAAA0444639,89817.48,3,89817.48,3,EBRAHIM FAHMIDA ABDUL SAMID
UNIMED HEALTHCARE,MAAA0444639,89817.48,3,89817.48,3,MOHAMED FARHANA
UNIMED HEALTHCARE,MAAA0444639,89817.48,3,89817.48,3,MOHAMED IMTIAZ
UNIQO SOLUTIONS,MAAA0916660,0,1,0,1,MAZIMA JACQUES ALFRED
UNIQUE CHOICE,MAAA0729825,190512,6,190512,6,MAKGOLANE ISAAC TABUDI
UNIQUE TRADING AND OUTSOURCING,MAAA0167849,72470,1,72470,1,SEWSANKER COMAL
UNIQUE TRADING AND OUTSOURCING,MAAA0167849,72470,1,72470,1,SEWSANKER KAVISH
UNITED SCIENTIFIC,MAAA0021210,262372.5,5,230400,5,LE ROUX Jacques
UNITED SCIENTIFIC,MAAA0021210,262372.5,5,230400,5,MILLER IAN
